,kyouriki 2 glu 8,kyouriki 3 glu 7,kyouriki 4 glu 6,kyouriki 5 glu 5,kyouriki 6 glu 4,kyouriki 7 glu 3,kyouriki 8 glu 2,kyouriki 9 glu 1
1000.09,9.48E-02,9.74E-02,8.64E-02,8.80E-02,8.27E-02,7.67E-02,7.49E-02,7.23E-02
1000.28,9.49E-02,9.75E-02,8.65E-02,8.80E-02,8.28E-02,7.66E-02,7.49E-02,7.22E-02
1000.48,9.50E-02,9.75E-02,8.66E-02,8.82E-02,8.28E-02,7.65E-02,7.50E-02,7.23E-02
1000.67,9.52E-02,9.76E-02,8.67E-02,8.83E-02,8.28E-02,7.66E-02,7.52E-02,7.22E-02
1000.86,9.53E-02,9.78E-02,8.68E-02,8.85E-02,8.30E-02,7.68E-02,7.53E-02,7.23E-02
1001.06,9.55E-02,9.81E-02,8.71E-02,8.87E-02,8.32E-02,7.70E-02,7.54E-02,7.24E-02
1001.25,9.58E-02,9.83E-02,8.73E-02,8.89E-02,8.33E-02,7.71E-02,7.54E-02,7.25E-02
1001.44,9.59E-02,9.82E-02,8.72E-02,8.88E-02,8.32E-02,7.71E-02,7.53E-02,7.24E-02
1001.64,9.60E-02,9.82E-02,8.71E-02,8.87E-02,8.30E-02,7.69E-02,7.51E-02,7.23E-02
1001.83,9.62E-02,9.84E-02,8.73E-02,8.89E-02,8.31E-02,7.70E-02,7.51E-02,7.24E-02
1002.02,9.65E-02,9.87E-02,8.75E-02,8.91E-02,8.32E-02,7.71E-02,7.51E-02,7.24E-02
1002.22,9.66E-02,9.88E-02,8.76E-02,8.90E-02,8.33E-02,7.71E-02,7.51E-02,7.24E-02
1002.41,9.65E-02,9.89E-02,8.76E-02,8.88E-02,8.32E-02,7.70E-02,7.51E-02,7.23E-02
1002.6,9.66E-02,9.89E-02,8.77E-02,8.87E-02,8.33E-02,7.68E-02,7.52E-02,7.23E-02
1002.8,9.67E-02,9.90E-02,8.78E-02,8.88E-02,8.34E-02,7.68E-02,7.52E-02,7.22E-02
1002.99,9.67E-02,9.91E-02,8.78E-02,8.90E-02,8.34E-02,7.68E-02,7.52E-02,7.21E-02
1003.19,9.68E-02,9.93E-02,8.80E-02,8.93E-02,8.35E-02,7.70E-02,7.52E-02,7.22E-02
1003.38,9.70E-02,9.95E-02,8.81E-02,8.96E-02,8.37E-02,7.72E-02,7.54E-02,7.23E-02
1003.57,9.74E-02,9.98E-02,8.83E-02,8.98E-02,8.40E-02,7.74E-02,7.54E-02,7.24E-02
1003.77,9.78E-02,1.00E-01,8.86E-02,8.98E-02,8.40E-02,7.75E-02,7.55E-02,7.24E-02
1003.96,9.81E-02,0.1001254,8.87E-02,8.98E-02,8.39E-02,7.75E-02,7.55E-02,7.24E-02
1004.16,9.82E-02,0.1001427,8.86E-02,8.99E-02,8.39E-02,7.75E-02,7.55E-02,7.24E-02
1004.35,9.81E-02,0.1001467,8.87E-02,8.99E-02,8.38E-02,7.74E-02,7.54E-02,7.24E-02
1004.55,9.81E-02,0.10018,8.87E-02,8.98E-02,8.37E-02,7.73E-02,7.52E-02,7.23E-02
1004.74,9.81E-02,0.1001424,8.87E-02,8.97E-02,8.38E-02,7.73E-02,7.52E-02,7.22E-02
1004.94,9.83E-02,0.1002061,8.88E-02,8.97E-02,8.39E-02,7.74E-02,7.53E-02,7.22E-02
1005.13,9.84E-02,0.100331,8.89E-02,8.98E-02,8.40E-02,7.75E-02,7.54E-02,7.21E-02
1005.33,9.86E-02,0.1005217,8.90E-02,9.00E-02,8.41E-02,7.75E-02,7.54E-02,7.20E-02
1005.52,9.89E-02,0.1007549,8.92E-02,9.02E-02,8.41E-02,7.75E-02,7.53E-02,7.21E-02
1005.71,9.90E-02,0.1010125,8.93E-02,9.05E-02,8.42E-02,7.76E-02,7.53E-02,7.21E-02
1005.91,9.91E-02,0.1012202,8.94E-02,9.07E-02,8.42E-02,7.76E-02,7.54E-02,7.22E-02
1006.11,9.91E-02,0.1013678,8.95E-02,9.07E-02,8.44E-02,7.77E-02,7.55E-02,7.23E-02
1006.3,9.92E-02,0.1014456,8.97E-02,9.07E-02,8.44E-02,7.78E-02,7.56E-02,7.23E-02
1006.5,9.94E-02,0.1014374,8.97E-02,9.06E-02,8.44E-02,7.76E-02,7.55E-02,7.22E-02
1006.69,9.95E-02,0.1014479,8.98E-02,9.06E-02,8.44E-02,7.75E-02,7.55E-02,7.20E-02
1006.89,9.98E-02,0.1016219,9.01E-02,9.08E-02,8.45E-02,7.77E-02,7.57E-02,7.21E-02
1007.08,9.99E-02,0.1018582,9.02E-02,9.10E-02,8.46E-02,7.78E-02,7.56E-02,7.23E-02
1007.28,9.98E-02,0.1020007,9.01E-02,9.09E-02,8.45E-02,7.78E-02,7.54E-02,7.21E-02
1007.47,9.99E-02,0.1021623,9.02E-02,9.10E-02,8.45E-02,7.79E-02,7.54E-02,7.21E-02
1007.67,0.1002921,0.1024005,9.06E-02,9.13E-02,8.48E-02,7.81E-02,7.57E-02,7.22E-02
1007.87,0.1005867,0.1025847,9.09E-02,9.15E-02,8.51E-02,7.83E-02,7.59E-02,7.24E-02
1008.06,0.1007761,0.1027169,9.09E-02,9.15E-02,8.52E-02,7.83E-02,7.59E-02,7.25E-02
1008.26,0.1009685,0.1028642,9.09E-02,9.16E-02,8.53E-02,7.82E-02,7.59E-02,7.26E-02
1008.45,0.1011676,0.1030087,9.11E-02,9.17E-02,8.53E-02,7.84E-02,7.59E-02,7.25E-02
1008.65,0.1013061,0.1031113,9.12E-02,9.18E-02,8.52E-02,7.85E-02,7.59E-02,7.25E-02
1008.85,0.1013674,0.1031969,9.12E-02,9.18E-02,8.52E-02,7.84E-02,7.58E-02,7.24E-02
1009.04,0.1014281,0.1033352,9.13E-02,9.19E-02,8.53E-02,7.82E-02,7.57E-02,7.24E-02
1009.24,0.1014801,0.1034654,9.14E-02,9.20E-02,8.54E-02,7.82E-02,7.57E-02,7.24E-02
1009.43,0.1014958,0.1034939,9.15E-02,9.21E-02,8.55E-02,7.83E-02,7.58E-02,7.24E-02
1009.63,0.1016174,0.103549,9.16E-02,9.22E-02,8.55E-02,7.84E-02,7.59E-02,7.25E-02
1009.83,0.1019616,0.1038078,9.18E-02,9.24E-02,8.56E-02,7.85E-02,7.62E-02,7.27E-02
1010.02,0.1023357,0.104134,9.20E-02,9.25E-02,8.57E-02,7.86E-02,7.63E-02,7.28E-02
1010.22,0.1025257,0.1042985,9.21E-02,9.25E-02,8.56E-02,7.86E-02,7.63E-02,7.28E-02
1010.42,0.1026412,0.104426,9.22E-02,9.24E-02,8.56E-02,7.86E-02,7.63E-02,7.26E-02
1010.62,0.1028138,0.1046772,9.23E-02,9.25E-02,8.58E-02,7.88E-02,7.65E-02,7.26E-02
1010.81,0.1030156,0.1049048,9.25E-02,9.28E-02,8.61E-02,7.89E-02,7.65E-02,7.27E-02
1011.01,0.1031989,0.1049855,9.27E-02,9.29E-02,8.62E-02,7.90E-02,7.66E-02,7.28E-02
1011.21,0.1033224,0.1049881,9.27E-02,9.29E-02,8.62E-02,7.89E-02,7.65E-02,7.27E-02
1011.4,0.1034386,0.1050325,9.28E-02,9.29E-02,8.61E-02,7.88E-02,7.64E-02,7.26E-02
1011.6,0.1035597,0.1051336,9.29E-02,9.30E-02,8.60E-02,7.88E-02,7.64E-02,7.25E-02
1011.8,0.1035989,0.1052221,9.30E-02,9.31E-02,8.59E-02,7.88E-02,7.63E-02,7.25E-02
1012,0.1036272,0.1053397,9.30E-02,9.32E-02,8.60E-02,7.88E-02,7.64E-02,7.27E-02
1012.19,0.1037461,0.1055186,9.31E-02,9.34E-02,8.62E-02,7.89E-02,7.65E-02,7.28E-02
1012.39,0.1038948,0.1056777,9.33E-02,9.35E-02,8.64E-02,7.90E-02,7.65E-02,7.28E-02
1012.59,0.1040174,0.1058094,9.35E-02,9.35E-02,8.66E-02,7.90E-02,7.65E-02,7.28E-02
1012.79,0.1041535,0.1059363,9.35E-02,9.35E-02,8.66E-02,7.90E-02,7.65E-02,7.27E-02
1012.98,0.1043535,0.1060543,9.35E-02,9.36E-02,8.67E-02,7.91E-02,7.65E-02,7.27E-02
1013.18,0.1045144,0.1061472,9.37E-02,9.37E-02,8.67E-02,7.92E-02,7.65E-02,7.28E-02
1013.38,0.104523,0.1061733,9.37E-02,9.38E-02,8.68E-02,7.92E-02,7.65E-02,7.28E-02
1013.58,0.1045072,0.1062132,9.38E-02,9.39E-02,8.68E-02,7.92E-02,7.65E-02,7.28E-02
1013.78,0.1045821,0.1063509,9.39E-02,9.40E-02,8.68E-02,7.93E-02,7.66E-02,7.28E-02
1013.97,0.1047586,0.106555,9.40E-02,9.39E-02,8.70E-02,7.94E-02,7.67E-02,7.28E-02
1014.17,0.1050619,0.1067976,9.41E-02,9.40E-02,8.70E-02,7.95E-02,7.68E-02,7.29E-02
1014.37,0.1053335,0.1069777,9.41E-02,9.40E-02,8.71E-02,7.95E-02,7.68E-02,7.30E-02
1014.57,0.1054213,0.1070512,9.43E-02,9.41E-02,8.72E-02,7.95E-02,7.67E-02,7.30E-02
1014.77,0.1054832,0.1071568,9.44E-02,9.43E-02,8.72E-02,7.95E-02,7.67E-02,7.31E-02
1014.97,0.1056386,0.1073036,9.45E-02,9.44E-02,8.73E-02,7.96E-02,7.69E-02,7.32E-02
1015.17,0.1058054,0.1074156,9.45E-02,9.46E-02,8.72E-02,7.96E-02,7.69E-02,7.32E-02
1015.36,0.1059297,0.1075455,9.46E-02,9.47E-02,8.73E-02,7.95E-02,7.71E-02,7.31E-02
1015.56,0.105973,0.1076514,9.47E-02,9.47E-02,8.73E-02,7.95E-02,7.71E-02,7.29E-02
1015.76,0.1059532,0.1076324,9.47E-02,9.47E-02,8.73E-02,7.95E-02,7.70E-02,7.29E-02
1015.96,0.1060068,0.1076216,9.46E-02,9.47E-02,8.72E-02,7.95E-02,7.69E-02,7.28E-02
1016.16,0.106167,0.1077689,9.47E-02,9.47E-02,8.73E-02,7.96E-02,7.69E-02,7.29E-02
1016.36,0.1063096,0.1079566,9.49E-02,9.49E-02,8.74E-02,7.98E-02,7.70E-02,7.29E-02
1016.56,0.106385,0.1080424,9.51E-02,9.50E-02,8.75E-02,7.99E-02,7.71E-02,7.29E-02
1016.76,0.1064454,0.1080564,9.52E-02,9.50E-02,8.76E-02,7.98E-02,7.70E-02,7.30E-02
1016.96,0.1065374,0.1080739,9.53E-02,9.50E-02,8.76E-02,7.97E-02,7.70E-02,7.30E-02
1017.16,0.1066728,0.1080874,9.53E-02,9.49E-02,8.75E-02,7.96E-02,7.70E-02,7.30E-02
1017.36,0.1067891,0.1080708,9.53E-02,9.49E-02,8.75E-02,7.96E-02,7.69E-02,7.30E-02
1017.56,0.106843,0.1081379,9.53E-02,9.49E-02,8.75E-02,7.96E-02,7.69E-02,7.29E-02
1017.76,0.1068392,0.1083372,9.54E-02,9.50E-02,8.75E-02,7.95E-02,7.69E-02,7.29E-02
1017.96,0.1068082,0.1084769,9.56E-02,9.51E-02,8.76E-02,7.96E-02,7.70E-02,7.28E-02
1018.16,0.1069431,0.1085349,9.57E-02,9.52E-02,8.77E-02,7.97E-02,7.71E-02,7.27E-02
1018.36,0.1072965,0.1086803,9.59E-02,9.54E-02,8.78E-02,7.99E-02,7.72E-02,7.29E-02
1018.56,0.1075535,0.1088538,9.60E-02,9.55E-02,8.79E-02,8.00E-02,7.73E-02,7.31E-02
1018.76,0.1076077,0.1089643,9.60E-02,9.56E-02,8.78E-02,8.00E-02,7.73E-02,7.32E-02
1018.96,0.1076855,0.1090603,9.60E-02,9.57E-02,8.79E-02,8.01E-02,7.74E-02,7.31E-02
1019.16,0.1078573,0.1091194,9.61E-02,9.58E-02,8.80E-02,8.01E-02,7.73E-02,7.31E-02
1019.36,0.1079822,0.1091265,9.61E-02,9.58E-02,8.80E-02,8.01E-02,7.72E-02,7.30E-02
1019.56,0.1079557,0.1091521,9.61E-02,9.56E-02,8.79E-02,7.99E-02,7.70E-02,7.28E-02
1019.76,0.107833,0.1092195,9.60E-02,9.56E-02,8.78E-02,7.98E-02,7.69E-02,7.27E-02
1019.96,0.1077953,0.1093279,9.61E-02,9.56E-02,8.79E-02,7.98E-02,7.69E-02,7.26E-02
1020.16,0.1079551,0.1094931,9.63E-02,9.58E-02,8.80E-02,8.00E-02,7.70E-02,7.27E-02
1020.36,0.1081613,0.109643,9.65E-02,9.59E-02,8.82E-02,8.01E-02,7.72E-02,7.28E-02
1020.56,0.1082165,0.1097179,9.66E-02,9.58E-02,8.83E-02,8.01E-02,7.72E-02,7.27E-02
1020.76,0.1081804,0.109782,9.65E-02,9.57E-02,8.82E-02,8.01E-02,7.72E-02,7.27E-02
1020.96,0.1082034,0.1098349,9.65E-02,9.57E-02,8.82E-02,8.00E-02,7.73E-02,7.27E-02
1021.16,0.1083118,0.1098052,9.65E-02,9.58E-02,8.82E-02,8.00E-02,7.72E-02,7.28E-02
1021.36,0.1084111,0.1097053,9.65E-02,9.58E-02,8.82E-02,7.98E-02,7.72E-02,7.27E-02
1021.57,0.1084513,0.1096559,9.65E-02,9.57E-02,8.82E-02,7.98E-02,7.71E-02,7.26E-02
1021.77,0.1085808,0.1098187,9.65E-02,9.57E-02,8.82E-02,8.00E-02,7.71E-02,7.27E-02
1021.97,0.1088385,0.1101134,9.67E-02,9.59E-02,8.83E-02,8.02E-02,7.72E-02,7.29E-02
1022.17,0.1089585,0.1102348,9.68E-02,9.61E-02,8.83E-02,8.03E-02,7.73E-02,7.28E-02
1022.37,0.1088318,0.1101623,9.68E-02,9.60E-02,8.82E-02,8.00E-02,7.73E-02,7.27E-02
1022.57,0.1087353,0.1101677,9.67E-02,9.59E-02,8.82E-02,7.99E-02,7.71E-02,7.25E-02
1022.77,0.1088634,0.1103103,9.69E-02,9.60E-02,8.84E-02,8.00E-02,7.71E-02,7.25E-02
1022.98,0.1090754,0.1104434,9.71E-02,9.61E-02,8.85E-02,8.02E-02,7.72E-02,7.26E-02
1023.18,0.1092018,0.1104938,9.73E-02,9.62E-02,8.85E-02,8.03E-02,7.73E-02,7.27E-02
1023.38,0.1092464,0.1104749,9.73E-02,9.63E-02,8.84E-02,8.03E-02,7.73E-02,7.27E-02
1023.58,0.1093131,0.1105006,9.73E-02,9.64E-02,8.84E-02,8.04E-02,7.72E-02,7.28E-02
1023.78,0.109405,0.1105905,9.74E-02,9.65E-02,8.85E-02,8.04E-02,7.72E-02,7.28E-02
